Rank,French,Spanish,Word_IPA_ES,Word_IPA_LATAM,Phrase_ES,Phrase_FR,Phrase_IPA_ES,Phrase_ES_LATAM,Phrase_FR_LATAM,Phrase_IPA_LATAM,Notes,Exercise_Suggestions
945,discours,discurso,/diskuɾso/,/diskuɾso/,Le discours fut inspirant.,El discurso fue inspirador.,/le diskouɾs fut inspirant./,Le discours fut inspirant.,El discurso fue inspirador.,/le diskouɾs fut inspirant./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
946,lettre,carta,/kaɾta/,/kaɾta/,Elle a reçu une lettre d'un ami.,Recibió una carta de un amigo.,/eʝe a reçu une lettɾe d'un ami./,Elle a reçu une lettre d'un ami.,Recibió una carta de un amigo.,/eʝe a reçu une lettɾe d'un ami./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
947,texte,texto,/teksto/,/teksto/,Le texte est rédigé avec soin.,El texto está redactado con esmero.,/le tekste est redikse abek soin./,Le texte est rédigé avec soin.,El texto está redactado con esmero.,/le tekste est redikse abek soin./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
948,paragraphe,párrafo,/paɾafo/,/paɾafo/,Chaque paragraphe développe une idée.,Cada párrafo desarrolla una idea.,/tʃake paɾagɾape debeloppe une idee./,Chaque paragraphe développe une idée.,Cada párrafo desarrolla una idea.,/tʃake paɾagɾape debeloppe une idee./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
949,terme,término,/teɾmino/,/teɾmino/,Certains termes sont difficiles à traduire.,Algunos términos son difíciles de traducir.,/θeɾtains teɾmes sont diffiθiles à traduire./,Certains termes sont difficiles à traduire.,Algunos términos son difíciles de traducir.,/seɾtains teɾmes sont diffisiles à traduire./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
950,expression,expresión,/ekspɾesion/,/ekspɾesion/,L'expression de son visage était joyeuse.,La expresión de su rostro era alegre.,/l'ekspression de son bisakse etait ksoʝeuse./,L'expression de son visage était joyeuse.,La expresión de su rostro era alegre.,/l'ekspression de son bisakse etait ksoʝeuse./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
951,idiome,modismo,/modismo/,/modismo/,Cet idiome est typique de la région.,Este modismo es típico de la región.,/θet idiome est typike de la reksion./,Cet idiome est typique de la région.,Este modismo es típico de la región.,/set idiome est typike de la reksion./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
952,proverbe,proverbio,/pɾobeɾbio/,/pɾobeɾbio/,Un proverbe célèbre circule en ville.,Un proverbio famoso circula en la ciudad.,/un pɾobeɾbe θelèbre θiɾkule en biʝe./,Un proverbe célèbre circule en ville.,Un proverbio famoso circula en la ciudad.,/un pɾobeɾbe selèbre siɾkule en biʝe./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
953,maxime,máxima,/maksima/,/maksima/,Sa maxime est de vivre pleinement.,Su máxima es vivir plenamente.,/sa maksime est de bibɾe pleinement./,Sa maxime est de vivre pleinement.,Su máxima es vivir plenamente.,/sa maksime est de bibɾe pleinement./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
954,citation,cita,/θita/,/sita/,La citation est inspirante.,La cita es inspiradora.,/la θitation est inspirante./,La citation est inspirante.,La cita es inspiradora.,/la sitation est inspirante./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
955,conversation,conversación,/konbeɾsaθion/,/konbeɾsasion/,La conversation fut animée.,La conversación fue animada.,/la konbeɾsation fut animee./,La conversation fut animée.,La conversación fue animada.,/la konbeɾsation fut animee./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
956,colloque,coloquio,/kolokio/,/kolokio/,Le colloque rassemblait des experts internationaux.,El coloquio reunió a expertos internacionales.,/le koʝoke rassemblait des ekspeɾts internationauks./,Le colloque rassemblait des experts internationaux.,El coloquio reunió a expertos internacionales.,/le koʝoke rassemblait des ekspeɾts internationauks./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
957,symposium,simposio,/simposio/,/simposio/,Le simposio a abordé des sujets innovants.,El simposio abordó temas innovadores.,/le simposio a aboɾde des suksets innobants./,Le simposio a abordé des sujets innovants.,El simposio abordó temas innovadores.,/le simposio a aboɾde des suksets innobants./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
958,atelier,taller,/taʝeɾ/,/taʝeɾ/,L'atelier d'art a débuté ce matin.,El taller de arte comenzó esta mañana.,/l'atelier d'art a debute θe matin./,L'atelier d'art a débuté ce matin.,El taller de arte comenzó esta mañana.,/l'atelier d'art a debute se matin./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
959,séminaire,seminario,/seminaɾio/,/seminaɾio/,Le séminaire portait sur la technologie moderne.,El seminario trataba sobre la tecnología moderna.,/le seminaiɾe poɾtait suɾ la tetʃnoloksie moderne./,Le séminaire portait sur la technologie moderne.,El seminario trataba sobre la tecnología moderna.,/le seminaiɾe poɾtait suɾ la tetʃnoloksie moderne./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
960,formation,formación,/foɾmaθion/,/foɾmasion/,La formation professionnelle est essentielle.,La formación profesional es esencial.,/la foɾmation pɾofessionneʝe est essentieʝe./,La formation professionnelle est essentielle.,La formación profesional es esencial.,/la foɾmation pɾofessionneʝe est essentieʝe./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
961,cours,curso,/kuɾso/,/kuɾso/,Le cours de langue est intensif.,El curso de idiomas es intensivo.,/le kouɾs de lankse est intensif./,Le cours de langue est intensif.,El curso de idiomas es intensivo.,/le kouɾs de lankse est intensif./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
962,module,módulo,/modulo/,/modulo/,Le module d'apprentissage est interactif.,El módulo de aprendizaje es interactivo.,/le module d'apprentissakse est interaktif./,Le module d'apprentissage est interactif.,El módulo de aprendizaje es interactivo.,/le module d'apprentissakse est interaktif./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
963,programme,programa,/pɾogɾama/,/pɾogɾama/,Le programme télévisé a captivé l'audience.,El programa de televisión cautivó a la audiencia.,/le pɾogɾamme telebise a kaptibe l'audienθe./,Le programme télévisé a captivé l'audience.,El programa de televisión cautivó a la audiencia.,/le pɾogɾamme telebise a kaptibe l'audiense./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
964,initiative,iniciativa,/iniθiatiba/,/inisiatiba/,Son initiative a été saluée par tous.,Su iniciativa fue elogiada por todos.,/son initiatibe a ete saluee paɾ tous./,Son initiative a été saluée par tous.,Su iniciativa fue elogiada por todos.,/son initiatibe a ete saluee paɾ tous./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
965,entreprise,empresa,/empɾesa/,/empɾesa/,L'entreprise connaît une croissance rapide.,La empresa experimenta un rápido crecimiento.,/l'entreprise konnaît une kɾoissanθe rapide./,L'entreprise connaît une croissance rapide.,La empresa experimenta un rápido crecimiento.,/l'entreprise konnaît une kɾoissanse rapide./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
966,organisation,organización,/oɾganiθaθion/,/oɾganisasion/,L'organisation est bien structurée.,La organización está bien estructurada.,/l'organisation est bien strukturee./,L'organisation est bien structurée.,La organización está bien estructurada.,/l'organisation est bien strukturee./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
967,groupe,grupo,/gɾupo/,/gɾupo/,Le groupe a travaillé en harmonie.,El grupo trabajó en armonía.,/le gɾoupe a tɾabaiʝe en armonie./,Le groupe a travaillé en harmonie.,El grupo trabajó en armonía.,/le gɾoupe a tɾabaiʝe en armonie./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
968,équipe,equipo,/ekipo/,/ekipo/,L'équipe a remporté le match.,El equipo ganó el partido.,/l'ekipe a rempoɾte le mattʃ./,L'équipe a remporté le match.,El equipo ganó el partido.,/l'ekipe a rempoɾte le mattʃ./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
969,club,club,/klub/,/klub/,Le club de sport est réputé.,El club deportivo es reconocido.,/le klub de spoɾt est repute./,Le club de sport est réputé.,El club deportivo es reconocido.,/le klub de spoɾt est repute./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
970,association,asociación,/asoθiaθion/,/asosiasion/,L'association aide les personnes défavorisées.,La asociación ayuda a las personas desfavorecidas.,/l'assoθiation aide les peɾsonnes defaborisees./,L'association aide les personnes défavorisées.,La asociación ayuda a las personas desfavorecidas.,/l'assosiation aide les peɾsonnes defaborisees./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
971,fédération,federación,/fedeɾaθion/,/fedeɾasion/,La fédération organise des compétitions nationales.,La federación organiza competencias nacionales.,/la fedeɾation oɾganise des kompetitions nationales./,La fédération organise des compétitions nationales.,La federación organiza competencias nacionales.,/la fedeɾation oɾganise des kompetitions nationales./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
972,parti,partido,/paɾtido/,/paɾtido/,Le parti politique a gagné les élections.,El partido político ganó las elecciones.,/le paɾti politike a gagne les elektions./,Le parti politique a gagné les élections.,El partido político ganó las elecciones.,/le paɾti politike a gagne les elektions./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
973,gouvernement,gobierno,/gobieɾno/,/gobieɾno/,Le gouvernement annonce de nouvelles mesures.,El gobierno anuncia nuevas medidas.,/le goubeɾnement annonθe de noubeʝes mesures./,Le gouvernement annonce de nouvelles mesures.,El gobierno anuncia nuevas medidas.,/le goubeɾnement annonse de noubeʝes mesures./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
974,administration,administración,/administɾaθion/,/administɾasion/,L'administration locale est efficace.,La administración local es eficiente.,/l'administration lokale est effikaθe./,L'administration locale est efficace.,La administración local es eficiente.,/l'administration lokale est effikase./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
975,diplomatie,diplomacia,/diplomaθia/,/diplomasia/,La diplomatie évite les conflits.,La diplomacia evita los conflictos.,/la diplomatie ebite les konflits./,La diplomatie évite les conflits.,La diplomacia evita los conflictos.,/la diplomatie ebite les konflits./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
976,ambassade,embajada,/embaksada/,/embaksada/,L'ambassade est située dans le centre-ville.,La embajada se encuentra en el centro de la ciudad.,/l'ambassade est situee dans le θentre-biʝe./,L'ambassade est située dans le centre-ville.,La embajada se encuentra en el centro de la ciudad.,/l'ambassade est situee dans le sentre-biʝe./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
977,consulat,consulado,/konsulado/,/konsulado/,Le consulat fournit de l'aide aux citoyens.,El consulado brinda ayuda a los ciudadanos.,/le konsulat fouɾnit de l'aide auks θitoʝens./,Le consulat fournit de l'aide aux citoyens.,El consulado brinda ayuda a los ciudadanos.,/le konsulat fouɾnit de l'aide auks sitoʝens./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
978,traité,tratado,/tɾatado/,/tɾatado/,Le traité a été signé hier.,El tratado fue firmado ayer.,/le tɾaite a ete signe ier./,Le traité a été signé hier.,El tratado fue firmado ayer.,/le tɾaite a ete signe ier./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
979,conférence,conferencia,/konfeɾenθia/,/konfeɾensia/,La conférence internationale a débuté ce matin.,La conferencia internacional comenzó esta mañana.,/la konfeɾenθe inteɾnationale a debute θe matin./,La conférence internationale a débuté ce matin.,La conferencia internacional comenzó esta mañana.,/la konfeɾense inteɾnationale a debute se matin./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
980,symbole,símbolo,/simbolo/,/simbolo/,La colombe est un symbole de paix.,La paloma es un símbolo de paz.,/la kolombe est un symbole de paiks./,La colombe est un symbole de paix.,La paloma es un símbolo de paz.,/la kolombe est un symbole de paiks./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
981,emblème,emblema,/emblema/,/emblema/,L'emblème national représente l'histoire du pays.,El emblema nacional representa la historia del país.,/l'emblème national repɾesente l'istoire du pays./,L'emblème national représente l'histoire du pays.,El emblema nacional representa la historia del país.,/l'emblème national repɾesente l'istoire du pays./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
982,signe,signo,/signo/,/signo/,Le signe astrologique détermine parfois la personnalité.,El signo astrológico a veces determina la personalidad.,/le signe astɾoloksike deteɾmine paɾfois la personnalite./,Le signe astrologique détermine parfois la personnalité.,El signo astrológico a veces determina la personalidad.,/le signe astɾoloksike deteɾmine paɾfois la personnalite./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
983,indice,índice,/indiθe/,/indise/,Les indices révèlent la vérité.,Los índices revelan la verdad.,/les indiθes rebèlent la berite./,Les indices révèlent la vérité.,Los índices revelan la verdad.,/les indises rebèlent la berite./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
984,preuve,prueba,/pɾueba/,/pɾueba/,La preuve est irréfutable.,La prueba es irrefutable.,/la pɾeube est irefutable./,La preuve est irréfutable.,La prueba es irrefutable.,/la pɾeube est irefutable./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
985,argument,argumento,/aɾgumento/,/aɾgumento/,Chaque argument est bien présenté.,Cada argumento está bien presentado.,/tʃake aɾgument est bien presente./,Chaque argument est bien présenté.,Cada argumento está bien presentado.,/tʃake aɾgument est bien presente./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
986,justification,justificación,/ksustifikaθion/,/ksustifikasion/,La justification de sa décision était claire.,La justificación de su decisión fue clara.,/la ksustifikation de sa deθision etait klaire./,La justification de sa décision était claire.,La justificación de su decisión fue clara.,/la ksustifikation de sa desision etait klaire./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
987,exemple,ejemplo,/eksemplo/,/eksemplo/,Cet exemple illustre parfaitement la théorie.,Este ejemplo ilustra perfectamente la teoría.,/θet eksemple iʝustɾe paɾfaitement la teorie./,Cet exemple illustre parfaitement la théorie.,Este ejemplo ilustra perfectamente la teoría.,/set eksemple iʝustɾe paɾfaitement la teorie./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
988,modèle,modelo,/modelo/,/modelo/,Le modèle économique a évolué.,El modelo económico ha evolucionado.,/le modèle ekonomike a ebolue./,Le modèle économique a évolué.,El modelo económico ha evolucionado.,/le modèle ekonomike a ebolue./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
989,critère,criterio,/kɾiteɾio/,/kɾiteɾio/,Les critères de sélection sont stricts.,Los criterios de selección son estrictos.,/les kritères de selektion sont strikts./,Les critères de sélection sont stricts.,Los criterios de selección son estrictos.,/les kritères de selektion sont strikts./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
990,paramètre,parámetro,/paɾametɾo/,/paɾametɾo/,Chaque paramètre influence le résultat.,Cada parámetro influye en el resultado.,/tʃake paramètre influenθe le resultat./,Chaque paramètre influence le résultat.,Cada parámetro influye en el resultado.,/tʃake paramètre influense le resultat./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
991,facteur,factor,/faktoɾ/,/faktoɾ/,Le facteur décisif est l'engagement.,El factor decisivo es el compromiso.,/le fakteuɾ deθisif est l'engaksement./,Le facteur décisif est l'engagement.,El factor decisivo es el compromiso.,/le fakteuɾ desisif est l'engaksement./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
992,donnée,dato,/dato/,/dato/,Chaque donnée est analysée minutieusement.,Cada dato se analiza minuciosamente.,/tʃake donnee est analysee minutieusement./,Chaque donnée est analysée minutieusement.,Cada dato se analiza minuciosamente.,/tʃake donnee est analysee minutieusement./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
993,statistique,estadística,/estadistika/,/estadistika/,La statistique révèle des tendances surprenantes.,La estadística revela tendencias sorprendentes.,/la statistike rebèle des tendanθes surprenantes./,La statistique révèle des tendances surprenantes.,La estadística revela tendencias sorprendentes.,/la statistike rebèle des tendanses surprenantes./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
994,rapport,informe,/infoɾme/,/infoɾme/,Le rapport annuel a été publié.,El informe anual fue publicado.,/le rappoɾt annuel a ete publie./,Le rapport annuel a été publié.,El informe anual fue publicado.,/le rappoɾt annuel a ete publie./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
995,analyse,análisis,/analisis/,/analisis/,L'analyse des résultats est en cours.,El análisis de los resultados está en curso.,/l'analyse des resultats est en kours./,L'analyse des résultats est en cours.,El análisis de los resultados está en curso.,/l'analyse des resultats est en kours./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
996,étude,estudio,/estudio/,/estudio/,L'étude de marché a montré des opportunités.,El estudio de mercado mostró oportunidades.,/l'etude de martʃe a montɾe des opportunites./,L'étude de marché a montré des opportunités.,El estudio de mercado mostró oportunidades.,/l'etude de martʃe a montɾe des opportunites./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
997,recherche,investigación,/inbestigaθion/,/inbestigasion/,La recherche scientifique progresse rapidement.,La investigación científica progresa rápidamente.,/la retʃertʃe sθientifike pɾogɾesse rapidement./,La recherche scientifique progresse rapidement.,La investigación científica progresa rápidamente.,/la retʃertʃe ssientifike pɾogɾesse rapidement./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
998,découverte,descubrimiento,/deskubɾimiento/,/deskubɾimiento/,La découverte a révolutionné le domaine.,El descubrimiento revolucionó el campo.,/la dekoubeɾte a rebolutionne le domaine./,La découverte a révolutionné le domaine.,El descubrimiento revolucionó el campo.,/la dekoubeɾte a rebolutionne le domaine./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
999,avancée,avance,/abanθe/,/abanse/,Chaque avancée technologique change la société.,Cada avance tecnológico cambia la sociedad.,/tʃake abanθee tetʃnoloksike tʃankse la soθiete./,Chaque avancée technologique change la société.,Cada avance tecnológico cambia la sociedad.,/tʃake abansee tetʃnoloksike tʃankse la sosiete./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1000,développement,desarrollo,/desaɾoʝo/,/desaɾoʝo/,Le développement durable est la priorité.,El desarrollo sostenible es la prioridad.,/le debeloppement duɾable est la priorite./,Le développement durable est la priorité.,El desarrollo sostenible es la prioridad.,/le debeloppement duɾable est la priorite./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1001,,que,/ke/,/ke/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1002,,estar,/estaɾ/,/estaɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1003,,uno,/uno/,/uno/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1004,,haber,/abeɾ/,/abeɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1005,,por,/poɾ/,/poɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1006,,uno,/uno/,/uno/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1007,,ir,/iɾ/,/iɾ/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
1008,,tú,/tu/,/tu/,,,,,,,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
